date,value
2023-01-03,56.47688538100692
2023-01-07,65.79212815507391
2023-01-08,57.67434729152909
2023-01-09,45.30525614065048
2023-01-10,55.42560043585965
2023-01-12,45.34270246429743
2023-01-14,30.86719755342202
2023-01-16,44.37712470759027
2023-01-17,39.87168879665576
2023-01-18,53.142473325952736
2023-01-20,35.87696298664709
2023-01-21,64.65648768921554
2023-01-23,50.67528204687924
2023-01-24,35.75251813786544
2023-01-28,53.75698018345672
2023-01-30,47.083062502067236
2023-01-31,43.98293387770603
2023-02-02,49.86502775262066
2023-02-03,39.422890710440996
2023-02-06,37.791563500289776
2023-02-10,57.38466579995411
2023-02-11,51.7136828118997
2023-02-14,35.214780096325725
2023-02-15,42.801557916052914
2023-02-16,45.393612290402125
2023-02-17,60.57122226218915
2023-02-20,53.24083969394795
2023-02-21,46.149177195836835
2023-02-23,56.11676288840868
2023-02-24,60.30999522495951
2023-02-26,41.607824767773614
2023-03-01,59.75545127122359
2023-03-02,45.2082576215471
2023-03-03,48.14341023336183
2023-03-05,38.037933759193294
2023-03-06,58.125258223941984
2023-03-09,60.03532897892024
2023-03-10,53.61636025047634
2023-03-11,43.54880245394876
2023-03-13,65.38036566465969
2023-03-14,49.64173960890049
2023-03-16,23.802548959102555
2023-03-18,50.870470682381715
2023-03-19,47.009926495341325
2023-03-21,30.124310853991073
2023-03-24,64.77894044741517
2023-03-25,44.81729781726352
2023-03-26,41.91506397106812
2023-03-28,59.15402117702074
2023-03-30,44.70239796232961
2023-03-31,55.13267433113356
2023-04-01,50.9707754934804
2023-04-03,42.979469061226474
2023-04-04,46.723378534022316
2023-04-05,46.078918468678424
2023-04-07,52.96120277064576
2023-04-08,52.610552721798896
2023-04-09,50.05113456642461
